complete_video_IDs,video_titles
https://www.youtube.com/watch?v=o5LercVCQ0g,मावा_जलेबी_की_आसान_विधि_।_Mawa_Jalebi_Kaise_Banate_Hain_
https://www.youtube.com/watch?v=z0vyGmaaQEs,वेज_मुग़लाई_परांठा_रेसीपी_।_Veg_Mughlai_paratha_Street_food_of_Kolkata_
https://www.youtube.com/watch?v=nQGLQ9lmRNw,क्रिस्पी_चिल्ली_चना_रेसीपी_।_Crunchy_Chana_Chilli_Recipe_
https://www.youtube.com/watch?v=Nb9jGUv1osc,सोया_चाप_काठी_रॉल्स-दिल्ली_का_स्ट्रीट_फूड_।_Soya_Chaap_Kathi_Rolls_Recipe_
https://www.youtube.com/watch?v=U5RC9Agy-P0,अचारी_बैंगन_भरवां-खास_मसालों_के_साथ_बनी_खास_सब्जी_।_Stuffed_eggplant_Achari_
https://www.youtube.com/watch?v=k4o2jQaXm5A,ग्वार_फली_ढोकली-गुजरात_व_राजस्थान_की_ट्रेडीशनल_रेसीपी_।_Guvar_Dhokli_recipe_।_Cluster_Beans_Dhokli
https://www.youtube.com/watch?v=6jH4s5DQz_o,"मूंगदाल_रसबड़ा,_मिठाई_जो_गुलाब_जामुन_के_स्वाद_को_भुला_दे_।_Ras_Vada_-_Traditional_Indian_Sweet_Dish"
https://www.youtube.com/watch?v=xDMEVtHeAxc,दही_बेंगन_की_सब्जी_कहें_या_रायता-लेकिन_स्वाद_हमेशा_याद_रहेगा_।_Dahi_Bengan_recipe_
https://www.youtube.com/watch?v=d5HKNyjfVqg,"बेसन_पेड़ा_बनाईये,_3_आसान_स्टेप्स_में_।_Easy_way_to_make_Besan_Peda_"
https://www.youtube.com/watch?v=dlk1XXAmhgI,"कच्चे_आम_की_चाट_वाली_चटपटी_मीठी_चटनी,_जो_महीनों_चले_।_Raw_Mango_Sweet_Chutney_"
https://www.youtube.com/watch?v=Kty1i3aeWcM,आलू_चिप्स_बनाईये-मिनटों_में_।_Quickest_way_to_make_Potato_Chips_
https://www.youtube.com/watch?v=dvtidqDxg2I,गोभी_मंचूरियन_फ्राइड_चावल_।_Gobi_Manchurian_Fried_Rice_
https://www.youtube.com/watch?v=oMpoXGaN5Bg,दही_वाली_अरबी_-आगरा_मथुरा_की_खास_रेसीपी।_Dahi_Wali_Arbi_
https://www.youtube.com/watch?v=Oj1SYtKrPsM,दाल_चावल_से_बना_स्पंजी_इन्स्टेन्ट_सेन्डविच_ढोकला_।_Instant_Khatta_Sandwich_Dhokla_।_Dhokla_Burger
https://www.youtube.com/watch?v=UxCniB-taY8,पाव_भाजी_मुम्बई_स्टायल_घर_पर_झटपट_बनायें_।_Instant_Pav_Bhaji_in_Cooker_
https://www.youtube.com/watch?v=E5mqutD78Hw,चीज़_के_शोले_-_Special_Cheese_Bread_Rolls_of_Delhi_
https://www.youtube.com/watch?v=oiaOh5hIzGk,चीज_पनीर_घोटाला-सूरत_का_फेमस_स्ट्रीट_फूड।_Surti_Veg_Paneer_Ghotalo_Recipe_।_Paneer_Nu_Shaak
https://www.youtube.com/watch?v=RgtwgclU0A0,मसाला_फिंगर_फ्राइज-दिल्ली_स्पेशल_
